Gene,X1726FL.06.01.33_S33_L002_COMB_MONO,X1726FL.06.01.32_S32_L002_COMB_MONO,X1726FL.06.01.31_S31_L002_COMB_MONO,X1726FL.06.01.27_S27_L002_COMB_Filter,X1726FL.06.01.26_S26_L002_COMB_Filter,X1726FL.06.01.25_S25_L002_COMB_Filter,X1726FL.06.01.24_S24_L002_COMB_Filter,X1726FL.06.01.23_S23_L002_COMB_Filter,X1726FL.06.01.22_S22_L002_COMB_Filter,X1726FL.06.01.21_S21_L002_COMB_Filter,X1726FL.06.01.09_S9_L002_COMB_Tissue3,X1726FL.06.01.08_S8_L002_COMB_Tissue3,X1726FL.06.01.07_S7_L002_COMB_Tissue4,X1726FL.06.01.06_S6_L002_COMB_Tissue4,X1726FL.06.01.05_S5_L002_COMB_Tissue4,X1726FL.06.01.04_S4_L002_COMB_Tissue3,X1726FL.06.01.03_S3_L002_COMB_Tissue2,X1726FL.06.01.02_S2_L002_COMB_Tissue2,X1726FL.06.01.01_S1_L002_COMB_Tissue2
CHLRE_08g358541v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
CHLRE_08g358542v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_08g358543v5,9,26,20,33,22,84,4,30,2,8,211,86,36,87,42,214,34,3,211
CHLRE_08g358544v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_08g358545v5,8,16,11,2,3,1,3,4,0,0,13,40,12,84,0,36,6,0,1
CHLRE_08g358546v5,252,401,324,21,20,65,38,56,57,38,648,746,307,334,551,370,41,3,205
CHLRE_08g358547v5,20,25,20,0,0,6,2,3,4,2,38,56,32,0,0,10,0,0,17
CHLRE_08g358548v5,33,98,117,0,2,4,13,8,15,13,49,116,107,87,197,16,1,0,2
CHLRE_08g358549v5,0,2,5,0,0,1,0,0,0,0,12,4,2,0,37,0,0,0,0
CHLRE_08g358552v5,77,246,104,8,4,20,22,9,16,15,181,280,228,216,362,215,15,4,37
CHLRE_08g358553v5,58,176,97,8,2,14,15,3,13,7,121,299,121,53,134,99,31,2,66
CHLRE_08g358554v5,87,236,137,0,3,37,22,30,19,12,331,222,167,302,275,263,12,1,62
CHLRE_08g358555v5,76,103,88,6,2,16,4,23,9,8,35,103,97,257,174,90,11,0,17
CHLRE_08g358556v5,4299,3834,3980,1258,665,1524,768,2631,1005,278,14995,14058,8597,14554,37274,3244,525,106,903
CHLRE_08g358557v5,618,688,915,96,82,339,141,329,112,60,804,965,376,590,807,635,14,4,66
CHLRE_08g358558v5,912,914,723,20,18,75,52,94,109,60,111,246,55,90,212,111,22,4,14
CHLRE_08g358559v5,4335,3920,3658,144,109,797,373,396,530,205,1487,1422,1130,1323,2429,876,142,30,513
CHLRE_08g358560v5,225,137,200,0,0,3,9,0,14,0,0,1,0,0,0,0,8,4,6
CHLRE_08g358561v5,505,1043,139,1,8,11,51,41,79,70,646,725,313,199,123,746,8,1,48
CHLRE_08g358562v5,1801,1944,1475,41,87,223,282,481,343,173,2332,2993,1877,2357,5243,849,161,29,284
CHLRE_08g358563v5,228,475,217,12,7,37,28,36,65,36,767,1204,550,662,852,440,35,6,174
CHLRE_08g358564v5,138,476,27,0,2,4,5,2,10,13,266,325,119,219,337,283,3,4,73
CHLRE_08g358565v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_08g358567v5,8,26,6,0,0,5,7,18,3,2,15,45,41,16,0,7,2,2,0
CHLRE_08g358568v5,474,714,403,30,42,48,51,78,51,29,318,619,168,143,418,137,24,3,111
CHLRE_08g358569v5,18,44,11,0,1,7,3,9,12,3,39,43,19,0,58,33,8,0,1
CHLRE_08g358570v5,477,462,297,51,52,259,114,181,94,39,1007,1839,1256,1677,1925,808,38,11,226
CHLRE_08g358571v5,1477,1512,1372,0,0,2,96,18,234,103,31,96,12,114,204,30,2,0,10
CHLRE_08g358572v5,62,121,84,8,8,15,34,4,50,15,86,95,106,162,244,133,6,0,7
CHLRE_08g358573v5,314,756,371,5,17,104,118,112,153,57,1540,1286,522,261,602,2666,30,13,314
CHLRE_08g358574v5,181,140,174,6,10,9,35,67,48,16,710,979,296,179,445,308,32,3,36
CHLRE_08g358575v5,31,45,28,0,4,6,13,14,5,4,28,48,44,23,53,44,0,0,1
CHLRE_08g358576v5,130,247,213,4,5,23,19,22,27,8,352,130,250,166,597,395,30,13,262
CHLRE_08g358577v5,20,33,34,1,4,6,10,6,2,3,59,29,61,28,0,40,3,0,5
CHLRE_08g358578v5,70,163,66,4,8,17,14,15,11,9,141,273,110,73,24,170,0,6,16
CHLRE_08g358579v5,636,594,521,86,90,310,101,250,117,56,1092,1256,870,887,1633,462,49,11,129
CHLRE_08g358580v5,46927,60309,41659,277,504,791,5950,4504,12066,5413,30609,49715,23022,23338,44298,10348,1340,387,4831
CHLRE_08g358581v5,1,3,3,2,0,0,0,1,2,0,0,0,1,9,1,0,5,0,6
CHLRE_08g358582v5,28,17,26,7,1,0,3,3,11,2,45,54,26,91,0,36,10,2,8
CHLRE_08g358583v5,0,0,0,0,0,0,0,0,0,0,9,3,2,0,0,0,0,0,0
CHLRE_08g358600v5,3909,6256,3206,179,226,552,897,727,1578,553,2359,3313,1511,1394,2646,1699,137,6,260
CHLRE_08g358616v5,287,773,315,5,7,49,75,82,94,39,266,770,532,356,556,419,17,3,84
CHLRE_08g358650v5,43,51,43,2,1,1,10,7,9,6,17,36,6,0,0,4,0,0,0
CHLRE_08g358700v5,3,7,2,0,0,0,0,0,0,0,0,5,1,0,3,3,0,0,4
CHLRE_08g358751v5,19,64,14,0,0,2,8,1,8,2,22,51,18,1,66,16,0,0,1
CHLRE_08g358800v5,49,155,59,0,0,5,16,15,10,5,33,197,59,1,0,30,0,0,23
CHLRE_08g358850v5,1009,982,287,0,5,3,63,40,121,83,633,761,151,211,175,262,6,3,7
CHLRE_08g358900v5,80,71,68,5,7,11,17,43,6,9,111,223,252,18,283,64,15,4,41
CHLRE_08g358950v5,7,21,22,0,0,0,2,2,7,7,9,34,78,1,2,42,0,0,15
CHLRE_08g359000v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_08g359051v5,6,27,3,4,0,7,4,4,4,1,27,30,16,0,0,46,16,2,51
CHLRE_08g359100v5,521,603,305,7,15,100,37,35,43,33,454,556,426,433,1056,251,31,2,215
CHLRE_08g359133v5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_08g359166v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_08g359200v5,459,542,545,24,30,142,46,119,25,16,417,342,198,125,163,420,73,12,214
CHLRE_08g359250v5,293,174,538,1,8,3,10,43,12,4,148,165,62,155,33,32,2,3,24
CHLRE_08g359300v5,7,4,0,2178,2566,3129,1409,7388,53,2,5738,4195,4275,4129,7865,5699,210,13,408
CHLRE_08g359350v5,3155,2393,2357,271,493,656,1621,3171,2386,864,2291,2520,3929,3292,6862,1307,62,15,112
CHLRE_08g359400v5,1,4,1,0,0,0,0,0,1,0,8,3,1,0,0,0,0,0,2
CHLRE_08g359450v5,271,488,285,9,16,56,48,53,31,35,493,665,292,225,378,318,8,2,89
CHLRE_08g359500v5,37,40,70,4,0,4,9,0,6,4,54,20,5,0,0,3,3,1,14
CHLRE_08g359550v5,5,11,3,2,0,0,1,0,1,0,0,15,9,0,0,10,3,2,0
CHLRE_08g359567v5,13,30,22,1,0,0,2,5,5,3,123,90,134,194,191,54,0,0,7
CHLRE_08g359600v5,103,160,55,3,4,4,2,6,10,1,274,545,383,290,830,77,7,2,9
CHLRE_08g359650v5,84,138,140,0,3,2,12,5,38,20,145,190,21,0,30,8,0,0,8
CHLRE_08g359700v5,920,1143,705,35,30,144,129,175,116,79,742,1422,553,406,1233,351,16,2,160
CHLRE_08g359750v5,100665,103900,116787,10740,11374,35946,25707,57935,29194,11325,142528,152531,135586,147222,279563,90568,13254,2344,27014
CHLRE_08g359800v5,0,17,3,0,0,0,1,4,0,0,0,9,4,0,0,0,0,0,0
CHLRE_08g359850v5,334,542,221,22,22,88,50,72,32,23,367,308,210,283,418,182,20,0,91
CHLRE_08g359900v5,644,951,655,64,77,308,153,291,258,119,1771,1549,1404,1331,1499,1535,268,55,629
CHLRE_08g359950v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_08g360001v5,122,229,136,17,9,5,31,70,65,16,430,525,330,125,471,352,35,14,166
CHLRE_08g360050v5,1838,2971,2200,16,11,21,219,120,386,235,649,1399,685,710,1181,301,22,5,53
CHLRE_08g360100v5,701,1270,1285,3,10,21,74,57,92,37,329,686,467,274,925,302,6,4,60
CHLRE_08g360150v5,56,86,41,4,3,18,13,6,24,6,130,211,101,191,256,133,1,0,44
CHLRE_08g360200v5,77407,46168,48140,2,2,14,913,91,2157,2005,1139,1190,364,3571,3590,39,573,253,699
CHLRE_08g360250v5,2909,2946,2608,152,199,596,399,704,558,282,2438,2294,1266,1486,2780,2212,293,57,914
CHLRE_08g360300v5,94,165,123,4,9,29,9,17,8,8,161,217,131,0,71,129,6,0,26
CHLRE_08g360350v5,2154,2011,1026,96,97,464,259,589,365,191,2120,2681,1622,2152,3461,1194,312,73,737
CHLRE_08g360400v5,583,979,614,210,179,520,181,327,245,111,2871,2456,1560,1247,1477,3096,44,6,315
CHLRE_08g360444v5,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0
CHLRE_08g360450v5,64,36,204,14,7,10,89,22,168,36,100,330,46,1,0,24,9,0,15
CHLRE_08g360500v5,613,722,604,33,52,67,179,388,229,78,1499,2365,891,1204,1078,1284,39,12,107
CHLRE_08g360550v5,55,35,82,8,6,27,26,14,43,9,140,177,54,0,91,303,14,1,25
CHLRE_08g360564v5,225,415,146,72,54,348,34,102,43,17,714,609,525,452,760,792,109,20,403
CHLRE_08g360600v5,1383,1481,1474,221,287,550,347,957,419,173,4907,6337,2646,2343,4968,3001,231,45,665
CHLRE_08g360650v5,67,73,19,3,4,22,26,8,7,3,167,370,58,205,0,54,274,73,450
CHLRE_08g360700v5,4,11,6,0,0,0,0,0,0,0,0,19,13,0,0,23,0,0,0
CHLRE_08g360750v5,13,27,7,0,0,2,0,0,2,1,20,67,35,8,115,34,1,0,23
CHLRE_08g360801v5,4148,4776,2822,230,298,1131,716,1119,1216,447,4399,4391,3113,2131,5098,3731,741,137,2191
CHLRE_08g360850v5,44,114,44,1,1,5,7,1,4,5,131,148,73,128,129,63,0,1,25
CHLRE_08g360900v5,110459,113740,124052,12414,11907,43566,20219,51377,22691,8767,132868,161126,124298,122561,236601,95960,14884,3261,32467
CHLRE_08g360950v5,268,281,297,6,5,45,45,44,67,12,480,861,549,370,994,122,20,4,35
CHLRE_08g361000v5,86,275,71,6,4,22,17,18,34,7,219,297,188,125,207,145,15,4,53
CHLRE_08g361050v5,71,44,54,3,0,13,4,11,4,3,19,46,13,78,0,2,1,0,5
CHLRE_08g361063v5,57,75,50,0,8,2,11,25,11,8,87,65,29,0,81,44,0,0,3
CHLRE_08g361100v5,0,6,0,0,0,0,0,0,0,1,0,4,2,0,0,1,7,1,12
CHLRE_08g361150v5,229,334,200,18,18,107,38,98,65,25,640,886,614,588,675,468,28,6,74
CHLRE_08g361200v5,153,432,95,5,2,14,31,13,35,31,202,283,144,81,103,158,6,1,56
CHLRE_08g361250v5,61,109,64,4,4,8,16,16,24,13,103,206,83,5,80,39,0,0,11
CHLRE_08g361300v5,188,266,122,14,14,34,28,50,29,10,238,427,336,245,699,207,10,2,111
CHLRE_08g361350v5,250,433,276,4,4,12,64,20,74,41,104,47,81,3,523,94,7,1,67
CHLRE_08g361400v5,55,72,50,15,10,49,19,42,33,9,99,93,160,67,571,95,88,3,172
CHLRE_08g361450v5,10,20,19,7,0,2,3,5,4,3,11,22,29,80,154,13,0,0,1
CHLRE_08g361500v5,251,223,201,6,10,65,33,85,53,13,281,294,235,354,625,147,18,11,64
