Gene,X1726FL.06.01.33_S33_L002_COMB_MONO,X1726FL.06.01.32_S32_L002_COMB_MONO,X1726FL.06.01.31_S31_L002_COMB_MONO,X1726FL.06.01.27_S27_L002_COMB_Filter,X1726FL.06.01.26_S26_L002_COMB_Filter,X1726FL.06.01.25_S25_L002_COMB_Filter,X1726FL.06.01.24_S24_L002_COMB_Filter,X1726FL.06.01.23_S23_L002_COMB_Filter,X1726FL.06.01.22_S22_L002_COMB_Filter,X1726FL.06.01.21_S21_L002_COMB_Filter,X1726FL.06.01.09_S9_L002_COMB_Tissue3,X1726FL.06.01.08_S8_L002_COMB_Tissue3,X1726FL.06.01.07_S7_L002_COMB_Tissue4,X1726FL.06.01.06_S6_L002_COMB_Tissue4,X1726FL.06.01.05_S5_L002_COMB_Tissue4,X1726FL.06.01.04_S4_L002_COMB_Tissue3,X1726FL.06.01.03_S3_L002_COMB_Tissue2,X1726FL.06.01.02_S2_L002_COMB_Tissue2,X1726FL.06.01.01_S1_L002_COMB_Tissue2
CHLRE_01g000017v5,0,2,2,0,0,0,1,0,2,0,0,12,7,41,0,1,0,2,2
CHLRE_01g000033v5,1,0,4,0,2,2,1,2,3,0,11,5,14,62,109,4,2,0,14
CHLRE_01g000050v5,106,224,95,4,4,9,26,27,49,17,258,441,336,385,898,121,4,5,20
CHLRE_01g000100v5,43,69,29,0,0,9,27,11,36,9,109,254,159,54,225,86,0,0,19
CHLRE_01g000150v5,8,21,0,1,0,3,5,19,1,0,25,73,272,87,216,14,20,5,26
CHLRE_01g000200v5,66,157,41,1,0,6,15,6,8,6,99,122,177,130,218,66,2,0,37
CHLRE_01g000250v5,459,682,514,23,30,207,124,205,104,42,948,828,721,470,1213,1021,55,16,258
CHLRE_01g000300v5,4449,6947,5111,522,570,4364,1087,1873,1076,546,12424,5558,4688,3444,7380,17122,708,102,4940
CHLRE_01g000350v5,540,794,752,3,6,36,95,49,99,56,297,684,565,302,845,176,16,8,208
CHLRE_01g000400v5,104,144,93,25,15,71,12,58,11,12,438,451,184,118,155,147,14,6,58
CHLRE_01g000450v5,721,834,671,94,74,182,151,289,219,72,919,1585,760,766,1704,427,62,7,171
CHLRE_01g000500v5,648,890,290,12,23,34,90,145,145,56,213,404,158,296,399,198,6,3,43
CHLRE_01g000550v5,2,9,1,0,0,0,0,0,0,1,7,9,6,0,0,2,0,0,3
CHLRE_01g000600v5,861,1029,667,30,28,123,86,175,132,62,1221,1052,903,897,2412,505,67,9,218
CHLRE_01g000650v5,1432,2121,702,140,146,1661,309,259,443,217,3838,2000,1466,709,2584,3920,235,25,2757
CHLRE_01g000700v5,4,22,22,4,0,1,0,1,1,2,5,27,17,96,0,8,0,0,0
CHLRE_01g000750v5,34,69,52,1,1,11,13,5,32,5,64,89,106,37,80,97,9,0,54
CHLRE_01g000800v5,90,58,80,5,11,6,13,55,20,5,95,177,86,73,282,34,4,0,22
CHLRE_01g000850v5,1174,1238,872,76,90,224,237,554,228,91,1023,1768,1046,1360,2402,476,92,1,228
CHLRE_01g000900v5,1126,2762,1636,50,60,356,217,240,241,148,3709,2011,1605,1577,2778,4212,113,26,891
CHLRE_01g000950v5,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0
CHLRE_01g001000v5,2,6,0,0,0,0,0,2,0,0,0,4,4,0,0,0,2,0,0
CHLRE_01g001100v5,173,529,133,11,16,84,68,31,78,41,929,1452,1857,1199,2755,868,44,3,227
CHLRE_01g001150v5,20,45,43,0,2,1,4,4,3,1,23,35,46,130,40,27,1,0,9
CHLRE_01g001200v5,136,88,160,1,4,8,29,24,50,12,151,353,124,303,550,100,12,0,43
CHLRE_01g001250v5,42,65,79,0,0,0,2,2,17,4,21,20,13,0,66,12,6,0,13
CHLRE_01g001300v5,23,56,19,3,2,1,20,8,9,2,66,100,50,155,67,24,2,0,8
CHLRE_01g001350v5,6,30,7,0,1,2,3,2,5,1,51,104,57,0,73,18,0,0,8
CHLRE_01g001400v5,102,357,167,60,29,155,36,51,37,24,343,183,246,192,322,664,86,39,585
CHLRE_01g001450v5,10,52,11,2,0,4,4,0,8,1,5,22,34,0,0,10,5,0,1
CHLRE_01g001501v5,4,15,7,0,0,0,1,0,1,0,18,13,20,0,4,1,3,0,4
CHLRE_01g001550v5,1114,1481,1282,50,53,389,237,293,340,105,1701,2862,1243,999,2401,703,34,6,173
CHLRE_01g001600v5,98,177,94,2,3,14,17,24,24,7,290,496,185,116,156,240,33,11,148
CHLRE_01g001650v5,0,10,0,0,0,0,0,0,0,2,6,11,13,0,91,4,0,0,6
CHLRE_01g001657v5,269,275,224,2,6,17,63,45,102,24,191,421,649,983,1350,110,14,2,56
CHLRE_01g001664v5,228,308,164,0,3,2,30,9,39,6,32,76,12,0,163,15,12,2,6
CHLRE_01g001671v5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
CHLRE_01g001678v5,371,437,481,13,24,60,76,72,127,39,645,717,622,449,706,456,96,20,220
CHLRE_01g001685v5,1,0,6,0,0,0,0,0,2,0,0,1,3,0,0,1,1,0,1
CHLRE_01g001700v5,21,32,11,1,1,3,8,2,0,1,13,63,4,1,136,25,1,0,9
CHLRE_01g001750v5,1312,1134,554,53,46,120,188,504,326,108,2002,3172,1349,2014,2848,386,135,19,230
CHLRE_01g001800v5,625,940,229,47,52,299,86,117,104,51,837,986,466,211,1534,727,100,14,284
CHLRE_01g001950v5,105,227,131,4,5,44,25,33,37,13,249,369,250,240,335,256,10,0,128
CHLRE_01g001983v5,118,443,101,53,40,506,118,215,122,50,573,381,415,100,323,1052,191,32,549
CHLRE_01g002050v5,18,87,47,5,8,95,18,18,9,5,212,122,237,0,363,222,17,8,125
CHLRE_01g002100v5,194,330,218,16,11,81,26,40,69,16,668,601,575,480,906,498,42,7,215
CHLRE_01g002150v5,23,158,20,1,3,4,10,24,2,2,37,31,37,0,0,33,2,0,11
CHLRE_01g002200v5,449,572,415,18,16,89,44,55,56,39,621,854,570,642,1150,237,24,0,96
CHLRE_01g002201v5,1,2,1,0,0,0,0,0,0,0,0,11,5,69,0,1,0,0,0
CHLRE_01g002203v5,0,0,1,3,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0
CHLRE_01g002227v5,75,90,79,0,0,7,8,3,17,7,118,134,77,0,232,29,13,4,2
CHLRE_01g002234v5,136,129,81,6,18,43,12,26,16,3,303,201,156,332,340,155,24,9,54
CHLRE_01g002250v5,1470,1438,1323,56,101,197,284,496,311,175,1359,1996,897,1067,1834,678,7,0,56
CHLRE_01g002300v5,3444,4284,2618,559,504,3365,1006,2802,700,365,16150,14914,11154,10607,23354,10379,1115,210,2615
CHLRE_01g002350v5,50,157,60,3,2,3,18,20,17,16,196,456,317,298,670,178,9,3,40
CHLRE_01g002400v5,30,70,53,0,1,0,10,11,10,5,81,145,121,99,135,28,5,0,10
CHLRE_01g002451v5,10,35,10,0,0,0,3,0,3,1,20,135,83,0,36,12,1,1,10
CHLRE_01g002500v5,1626,2193,1767,76,76,384,249,410,259,135,1567,2543,2407,2119,3896,1103,112,26,542
CHLRE_01g002550v5,1325,1713,775,48,50,243,166,224,264,116,1566,1858,716,1041,1505,1004,89,7,313
CHLRE_01g002600v5,6,13,6,1,2,3,1,0,0,0,0,2,5,0,43,1,0,0,0
CHLRE_01g002650v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
CHLRE_01g002700v5,10,16,14,0,0,4,1,6,0,2,5,23,39,0,153,8,0,0,0
CHLRE_01g002750v5,8,9,18,2,1,2,1,5,7,3,14,8,20,41,172,7,3,0,12
CHLRE_01g002787v5,2,4,2,0,1,0,6,0,8,1,7,12,8,33,0,10,5,2,8
CHLRE_01g002824v5,0,2,0,0,0,1,0,0,0,0,0,1,3,0,0,3,0,0,0
CHLRE_01g002861v5,177,369,131,7,26,66,84,80,140,35,357,328,155,207,181,356,38,12,107
CHLRE_01g002900v5,413,735,78,0,2,1,34,5,43,18,127,162,25,0,0,80,0,0,0
CHLRE_01g002950v5,125,234,104,2,1,0,12,2,23,7,160,249,123,81,196,50,4,4,31
CHLRE_01g003000v5,3,10,1,0,0,0,0,0,0,2,0,12,5,46,0,2,0,0,10
CHLRE_01g003050v5,3,14,17,0,0,2,0,0,6,0,5,10,32,70,0,14,6,0,14
CHLRE_01g003100v5,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,3,0,5
CHLRE_01g003150v5,204,346,218,21,19,84,33,85,60,34,337,706,489,299,524,370,23,6,79
CHLRE_01g003200v5,7,31,9,2,1,2,2,3,6,5,62,82,47,0,0,17,7,2,43
CHLRE_01g003250v5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CHLRE_01g003300v5,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0
CHLRE_01g003376v5,216,431,240,13,12,60,54,72,58,27,634,1151,821,776,1097,505,14,5,207
CHLRE_01g003450v5,13,27,38,0,0,2,7,9,13,2,15,55,108,96,155,26,6,0,1
CHLRE_01g003463v5,110,340,150,2,3,20,32,9,38,16,178,316,264,291,635,129,9,1,79
CHLRE_01g003475v5,1,2,5,0,0,0,0,0,5,0,0,0,1,0,0,2,0,0,0
CHLRE_01g003487v5,10,35,22,0,0,0,8,5,8,1,23,21,54,0,150,21,4,0,6
CHLRE_01g003500v5,7,42,23,1,2,8,1,1,4,1,1,13,20,71,78,34,0,0,0
CHLRE_01g003508v5,6,47,7,0,0,0,4,0,4,0,44,66,49,14,43,41,3,4,23
CHLRE_01g003516v5,587,797,366,66,65,169,142,165,220,83,963,1078,1155,946,3090,831,95,25,286
CHLRE_01g003524v5,2738,3853,1469,64,93,214,260,241,456,254,1402,1852,649,450,1268,1174,22,4,117
CHLRE_01g003532v5,10,21,6,0,0,2,1,3,7,1,12,6,4,0,1,19,0,1,0
CHLRE_01g003541v5,0,2,1,2,1,0,1,0,0,0,0,1,1,0,33,0,0,0,2
CHLRE_01g003550v5,59,138,108,7,9,16,36,26,48,5,65,212,102,294,241,28,0,0,24
CHLRE_01g003600v5,1,6,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,3
CHLRE_01g003650v5,433,617,267,34,57,341,63,151,45,44,1180,1507,396,663,739,682,113,10,487
CHLRE_01g003700v5,15,23,22,1,0,1,8,12,12,4,34,61,43,95,189,29,0,0,2
CHLRE_01g003751v5,26,57,24,0,0,1,12,0,12,6,7,70,2,0,0,17,4,0,9
CHLRE_01g003800v5,28,31,8,8,6,18,8,4,0,1,56,83,20,96,0,36,14,2,48
CHLRE_01g003826v5,57,55,12,41,41,80,12,80,1,1,136,288,50,152,44,143,65,14,122
CHLRE_01g003850v5,1,4,0,5,15,11,29,109,1,0,519,972,49,107,135,39,8,8,52
CHLRE_01g003950v5,325,281,170,3,0,8,69,61,127,38,344,522,282,559,425,50,16,0,32
CHLRE_01g004000v5,421,473,415,65,64,188,65,282,77,35,644,990,479,683,585,317,52,6,95
CHLRE_01g004050v5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1
CHLRE_01g004124v5,263,531,96,63,137,307,462,889,669,274,2403,1325,1191,1396,2370,2542,156,21,146
CHLRE_01g004157v5,9691,8365,6238,25,85,116,1420,295,3126,1360,1178,1009,996,1255,2695,1341,106,39,313
CHLRE_01g004200v5,146,357,107,8,3,77,32,39,33,16,568,549,330,157,171,427,23,0,90
CHLRE_01g004250v5,2431,3060,951,159,143,383,253,461,339,167,2064,2431,1256,887,2580,1819,108,30,271
CHLRE_01g004300v5,3741,4377,3665,136,167,2005,609,1309,795,420,5641,9370,4154,4168,6015,2176,1695,324,4393
CHLRE_01g004350v5,193,358,291,1,10,98,47,42,69,30,517,485,641,501,707,793,96,30,597
CHLRE_01g004400v5,401,483,207,8,9,9,39,98,56,34,200,317,129,39,376,150,18,12,29
CHLRE_01g004450v5,325,315,227,13,13,83,75,260,75,37,352,836,450,230,1016,92,153,39,194
CHLRE_01g004500v5,6329,6236,6825,262,241,3810,849,2299,865,463,5829,6425,3017,3926,6186,3235,1394,277,4499
CHLRE_01g004550v5,165,420,56,2,5,16,42,10,74,22,268,330,182,331,265,222,7,1,20
CHLRE_01g004600v5,318,674,343,217,192,569,151,327,161,46,1685,1182,1058,818,1353,1780,351,66,673
CHLRE_01g004651v5,276,276,279,25,28,103,33,63,36,10,172,245,196,0,464,158,16,12,65
CHLRE_01g004700v5,27,42,3,1,6,1,10,1,5,2,64,64,58,184,56,39,88,7,53
CHLRE_01g004750v5,0,0,0,1,5,1,1,2,0,0,12,17,3,0,112,8,11,0,41
CHLRE_01g004800v5,12216,12611,10706,260,243,812,1154,648,2279,1097,7935,5169,3108,3185,5205,8836,542,47,716
CHLRE_01g004850v5,19,52,41,0,2,1,3,3,20,1,8,40,60,81,174,39,1,0,16
CHLRE_01g004900v5,4069,3313,7680,1647,1449,4845,856,3405,645,300,11258,7416,6473,7380,13339,8924,1295,173,1261
CHLRE_01g004926v5,2,0,5,2,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0
CHLRE_01g004950v5,3174,3393,4084,422,381,1339,461,1728,429,175,2973,2805,1120,1004,3077,2001,283,30,636
CHLRE_01g005001v5,1138,994,1333,123,139,316,198,798,225,115,739,747,395,271,512,393,47,3,63
CHLRE_01g005050v5,22724,26040,14316,3599,4125,8570,3845,14563,3362,1552,35600,39943,16888,18862,33076,21407,1798,436,5073
CHLRE_01g005100v5,134,152,106,3,0,15,14,24,26,18,70,194,46,86,250,25,1,1,19
CHLRE_01g005126v5,2,0,0,0,0,0,0,0,0,0,10,0,0,1,3,0,0,0,0
CHLRE_01g005150v5,12114,11763,9912,670,543,1743,1759,3987,2408,925,4171,4777,7481,8965,14923,1960,78,14,169
CHLRE_01g005200v5,21,22,3,1,0,2,14,6,7,1,22,28,10,8,0,6,3,0,11
CHLRE_01g005250v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_01g005300v5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CHLRE_01g005350v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_01g005400v5,13,49,0,0,0,0,2,9,4,2,0,5,9,0,28,2,0,0,2
CHLRE_01g005450v5,1700,2434,427,36,50,87,152,218,183,86,1480,1018,445,837,681,824,38,9,127
CHLRE_01g005500v5,289,475,417,18,21,35,47,62,77,44,511,857,427,515,626,507,6,0,111
CHLRE_01g005534v5,3,8,5,3,0,0,0,0,2,1,0,2,0,0,0,1,0,0,4
CHLRE_01g005543v5,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0
CHLRE_01g005550v5,512,636,294,83,74,135,59,248,71,41,653,1043,510,647,1030,330,36,1,87
CHLRE_01g005600v5,159,161,111,9,29,42,14,39,29,12,262,241,103,85,37,120,8,0,39
CHLRE_01g005651v5,45,54,27,21,15,36,20,92,31,10,191,252,119,213,322,77,6,1,18
CHLRE_01g005701v5,599,879,672,526,534,1119,136,652,24,18,1647,934,211,232,309,1771,78,15,268
CHLRE_01g005750v5,2,12,1,338,307,1313,111,512,3,0,2612,282,35,75,153,4113,68,15,174
CHLRE_01g005813v5,232,474,138,1,5,53,26,6,22,21,210,125,75,68,100,99,11,4,54
CHLRE_01g005850v5,1364,1461,842,47,36,217,130,248,188,75,442,701,481,471,662,233,69,20,104
CHLRE_01g005900v5,325,386,335,18,19,47,80,132,74,34,316,463,101,81,0,93,0,0,2
CHLRE_01g005950v5,870,920,606,28,60,206,132,307,144,54,1990,3362,1413,1835,3003,616,44,9,149
CHLRE_01g006000v5,512,742,411,13,41,140,103,77,100,55,659,724,442,223,635,579,16,7,304
CHLRE_01g006050v5,97,199,133,4,2,16,27,42,29,16,280,289,272,300,490,274,9,2,49
CHLRE_01g006100v5,185,175,156,10,7,50,28,59,40,9,86,129,83,127,21,50,16,5,27
CHLRE_01g006150v5,1676,2126,1324,112,105,511,214,365,409,193,1393,1984,1182,1076,2725,631,72,13,381
CHLRE_01g006202v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_01g006250v5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CHLRE_01g006301v5,92,86,70,14,17,47,16,33,18,9,149,139,37,0,13,13,4,3,5
CHLRE_01g006352v5,4,2,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0
CHLRE_01g006402v5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
CHLRE_01g006450v5,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
CHLRE_01g006500v5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_01g006550v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_01g006576v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_01g006600v5,5,1,2,1,1,0,0,1,0,0,0,1,0,0,47,0,0,0,0
CHLRE_01g006614v5,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_01g006628v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_01g006642v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_01g006656v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
CHLRE_01g006670v5,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0
CHLRE_01g006700v5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_01g006733v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_01g006766v5,2,8,2,2,0,18,0,2,0,2,0,6,0,0,0,5,3,2,4
CHLRE_01g006800v5,400,588,303,27,44,103,59,164,85,37,480,768,425,546,844,347,13,10,46
CHLRE_01g006850v5,351,276,248,20,26,116,54,141,105,36,162,291,95,0,193,102,27,11,70
CHLRE_01g006876v5,2,1,1,0,0,1,1,4,0,1,0,1,2,0,0,4,0,0,0
CHLRE_01g006900v5,44,90,33,0,6,16,18,10,20,7,32,70,26,14,80,27,7,0,6
CHLRE_01g006950v5,534,553,409,30,45,191,178,427,195,54,772,1303,452,579,1161,103,98,10,180
CHLRE_01g007000v5,1462,1349,1516,85,153,277,235,537,366,130,1497,1551,957,1873,2223,1097,84,14,165
CHLRE_01g007050v5,1527,1381,1785,73,82,346,233,421,346,135,1445,1429,1067,1218,1707,1138,152,26,328
CHLRE_01g007051v5,96018,140698,135070,11470,10450,39562,28671,54280,29273,11220,107431,185899,158613,96938,193906,100878,9920,1651,33748
CHLRE_01g007100v5,108,260,153,3,1,11,38,32,56,30,282,470,351,423,265,154,9,2,44
CHLRE_01g007150v5,128,247,187,8,3,50,20,13,45,23,213,280,193,320,230,186,19,6,75
CHLRE_01g007200v5,885,1164,722,61,77,418,115,220,137,71,1362,1480,825,1029,1375,1165,140,23,417
CHLRE_01g007251v5,3,3,0,0,0,1,0,0,2,3,19,54,36,0,0,7,24,5,49
CHLRE_01g007300v5,729,933,659,64,60,195,110,200,105,48,1655,857,557,496,597,1846,9,0,53
CHLRE_01g007350v5,194,753,63,154,169,196,81,468,6,5,556,806,326,133,868,645,49,3,91
CHLRE_01g007400v5,4771,4887,3373,7,33,39,595,329,1264,584,2237,4266,2110,2382,3035,811,239,62,692
CHLRE_01g007450v5,1088,1458,1163,0,1,5,79,49,154,96,235,553,286,136,360,125,18,6,35
CHLRE_01g007500v5,233,562,220,11,8,23,50,18,78,29,489,530,335,265,323,379,2,3,42
CHLRE_01g007550v5,228,407,228,37,31,52,47,87,57,23,555,546,207,289,323,292,7,0,33
CHLRE_01g007600v5,258,142,105,18,33,54,139,498,76,20,57,108,53,55,71,54,9,3,6
CHLRE_01g007651v5,26,61,30,0,0,0,3,0,11,1,49,146,176,26,280,123,4,2,37
CHLRE_01g007700v5,172,322,89,0,2,3,53,12,71,36,145,242,91,120,169,9,14,3,50
CHLRE_01g007737v5,3380,4941,3134,77,114,331,376,352,550,288,2619,2709,2028,2282,2675,2159,131,25,883
CHLRE_01g007774v5,38,50,65,3,3,5,12,5,17,9,39,100,225,243,243,66,20,1,45
CHLRE_01g007811v5,54,97,45,1,2,28,4,8,7,5,73,83,88,0,94,123,9,0,75
CHLRE_01g007850v5,6352,5204,6364,207,257,554,904,1589,1185,540,3509,4105,2841,3380,5752,1925,342,86,511
CHLRE_01g007901v5,757,899,984,52,48,667,159,232,164,92,717,769,922,660,2100,853,353,78,1429
CHLRE_01g007950v5,12,12,40,84,190,2501,9,16,2,4,891,530,43,69,73,608,25,0,25
CHLRE_01g008000v5,64,95,122,4,5,13,18,12,8,5,115,245,99,303,127,47,2,0,17
CHLRE_01g008051v5,164,232,95,17,10,64,23,64,18,9,323,330,142,62,257,35,4,4,26
CHLRE_01g008100v5,747,1067,381,7,11,21,177,196,375,149,2777,6202,1819,1730,2579,1038,42,6,36
CHLRE_01g008150v5,45,122,64,4,5,74,10,7,16,8,127,69,147,82,178,136,29,8,205
CHLRE_01g008200v5,85,205,92,9,9,6,20,18,22,3,195,301,159,90,315,107,1,0,10
CHLRE_01g008250v5,680,649,880,5,10,9,62,49,144,44,472,595,383,496,561,385,38,20,41
CHLRE_01g008300v5,7315,8804,5892,131,148,265,854,1095,1406,612,7674,12952,6671,4767,13499,4669,290,89,756
CHLRE_01g008350v5,6602,6754,5379,98,147,379,661,572,1176,534,4706,5452,3108,2468,5057,3137,417,85,1075
CHLRE_01g008402v5,1,4,2,1,3,7,2,9,0,0,19,16,17,2,0,10,0,0,5
CHLRE_01g008450v5,17,110,12,9,10,28,4,24,0,0,33,79,52,0,87,38,3,0,3
CHLRE_01g008500v5,66,182,61,3,7,8,12,7,9,4,155,141,71,46,70,146,4,0,8
CHLRE_01g008550v5,1842,2347,1423,112,110,245,226,541,309,140,605,982,529,724,489,298,18,5,97
CHLRE_01g008600v5,17,67,37,2,2,12,8,5,5,1,71,72,83,3,83,72,3,0,23
CHLRE_01g008650v5,1272,1732,1097,186,215,750,274,488,332,134,3038,1993,1699,1763,3083,3294,364,98,1259
CHLRE_01g008700v5,25,65,15,3,0,8,2,2,11,1,27,64,24,0,178,21,4,0,6
CHLRE_01g008750v5,0,1,2,0,0,0,0,0,0,1,10,0,0,0,0,0,3,0,0
CHLRE_01g008800v5,287,287,352,1,4,17,75,57,143,21,297,289,192,157,96,221,39,10,96
CHLRE_01g008850v5,39,46,52,8,15,35,34,24,22,3,227,219,295,472,1200,156,35,4,45
CHLRE_01g008891v5,39,62,40,2,7,21,8,24,14,8,166,110,103,109,95,62,3,3,22
CHLRE_01g008900v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLRE_01g008950v5,192,227,271,100,67,954,55,105,62,24,838,596,828,545,1349,1044,316,50,714
CHLRE_01g008976v5,1,3,0,0,0,1,0,4,0,0,0,0,4,0,53,3,0,0,0
CHLRE_01g009000v5,41,59,45,3,2,21,4,4,3,2,63,84,50,0,0,21,6,0,5
CHLRE_01g009025v5,13,27,15,2,1,8,4,0,2,1,23,51,13,113,166,11,2,1,21
CHLRE_01g009050v5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CHLRE_01g009101v5,1435,1523,549,183,142,560,260,604,361,120,1007,1252,706,504,1066,771,150,20,318
CHLRE_01g009150v5,154,223,168,33,31,420,48,113,49,25,1322,285,316,187,578,1617,128,19,527
CHLRE_01g009200v5,31,80,19,0,2,3,7,11,1,2,41,61,20,62,0,25,0,0,26
CHLRE_01g009250v5,6,40,1,0,0,0,7,11,0,0,45,16,12,0,0,18,6,0,5
CHLRE_01g009300v5,115,284,163,7,9,27,47,27,48,8,164,422,378,248,358,193,16,2,123
CHLRE_01g009325v5,1,6,3,0,0,3,0,0,0,0,0,5,2,0,0,2,0,0,8
CHLRE_01g009350v5,34352,42865,35392,107,164,1694,1659,1001,3141,1886,8215,11743,4408,5987,10043,3048,1857,216,1812
CHLRE_01g009400v5,24943,27255,18741,107,169,355,1252,992,2292,1184,7212,12528,4299,4575,8688,2694,562,111,855
CHLRE_01g009450v5,8,24,9,0,1,7,8,5,11,7,37,109,85,77,165,77,8,0,48
CHLRE_01g009500v5,98,96,28,2,4,32,34,35,48,23,61,72,91,38,49,19,11,7,48
CHLRE_01g009550v5,21,88,32,5,3,39,14,4,3,2,138,95,123,143,177,141,16,0,292
CHLRE_01g009575v5,32,30,25,3,4,12,6,5,16,14,29,9,148,219,255,19,18,4,40
CHLRE_01g009601v5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,4
CHLRE_01g009650v5,135,227,81,9,10,112,21,26,14,13,352,142,131,161,363,330,65,45,255
CHLRE_01g009676v5,315,392,322,78,77,359,58,133,72,45,816,383,445,274,794,1046,263,92,640
CHLRE_01g009700v5,8,65,37,0,0,4,5,1,20,2,23,84,58,1,58,33,6,0,6
CHLRE_01g009731v5,6,14,1,0,2,1,1,3,1,2,3,17,15,0,62,1,0,2,0
CHLRE_01g009765v5,1,6,1,0,0,0,0,0,0,1,0,0,2,0,0,0,3,1,0
CHLRE_01g009800v5,280,879,104,3,8,26,46,17,91,41,329,455,200,159,301,343,3,3,50
CHLRE_01g009850v5,93,148,56,2,4,14,24,13,24,10,91,145,153,89,387,125,0,0,20
CHLRE_01g009900v5,5568,5440,5193,166,116,446,734,862,1104,485,1025,1656,1308,1306,3066,557,145,13,452
CHLRE_01g009950v5,655,625,580,52,34,98,83,198,76,69,841,1144,752,903,1601,515,83,31,169
CHLRE_01g010000v5,1370,1413,977,88,112,370,168,400,344,168,1273,1634,671,667,1508,919,138,15,370
CHLRE_01g010050v5,148,220,208,15,9,54,61,82,70,24,276,465,367,456,680,399,27,6,64
CHLRE_01g010100v5,1456,2264,1718,51,78,348,268,309,377,177,2139,1030,1262,877,2021,2389,120,13,681
CHLRE_01g010150v5,14,37,40,2,1,11,4,10,8,7,29,60,54,118,60,25,18,0,27
CHLRE_01g010201v5,140,128,118,10,8,42,24,24,38,17,408,293,174,242,303,235,40,14,95
CHLRE_01g010250v5,116,152,137,1,5,13,39,47,46,14,95,281,88,92,98,102,18,3,43
CHLRE_01g010296v5,15,70,4,0,3,2,10,46,0,0,43,19,28,0,0,28,1,0,7
CHLRE_01g010300v5,6,32,3,8,11,24,8,28,1,0,65,19,21,0,53,111,305,113,714
CHLRE_01g010350v5,568,510,495,42,52,139,63,105,68,32,721,644,519,939,841,453,75,13,267
CHLRE_01g010400v5,4783,5153,3620,1408,1384,1619,1273,6007,216,113,8177,6379,5799,6455,12902,5578,667,110,1331
CHLRE_01g010450v5,539,987,334,41,48,59,109,212,131,54,372,778,102,200,340,90,28,0,55
CHLRE_01g010500v5,400,401,701,24,15,79,55,51,56,26,295,464,250,90,205,169,12,3,56
CHLRE_01g010550v5,24,46,31,0,0,2,1,0,8,2,13,51,19,7,0,4,0,0,2
CHLRE_01g010650v5,2,8,2,0,1,0,0,0,0,0,0,6,15,0,0,4,0,0,3
CHLRE_01g010700v5,661,766,703,16,23,138,47,83,62,53,853,444,341,289,890,622,38,9,272
CHLRE_01g010750v5,83,126,147,8,10,98,41,35,58,18,221,197,463,332,1120,225,44,6,179
CHLRE_01g010800v5,19,48,35,1,0,8,9,4,13,6,78,60,57,100,292,40,8,0,18
CHLRE_01g010816v5,24,71,18,3,2,15,2,7,0,0,66,36,35,0,2,54,1,0,1
CHLRE_01g010832v5,485,2944,21,5111,5469,11477,228,1141,18,6,11333,1848,1956,1372,3664,16609,265,50,882
